,0,1,2,3,4,5,6
52,NP_006739,Q13239,2CUD,NP_005179,P22681,1B47,1
53,NP_003336,P63279,1A3S,NP_003191,P15923,1HLH,1
54,NP_001666,P18848,1CI6,NP_004119,P13984,1BBY,1
55,NP_001639,P07288,1PFA,NP_000005,P01023,1BV8,1
56,NP_997006,Q13480,4QSY,NP_005198,P46109,2BZX,1
57,NP_056036,Q6XZF7,1UG1,NP_995314,Q9Y2A7,3P8C,1
58,NP_000236,P08581,1FYR,NP_644805,P40763,5AX3,1
59,NP_000675,P08588,2LSQ,NP_004032,P49407,2IV8,1
60,NP_000220,P04180,4X96,NP_000030,P02647,1AV1,1
61,NP_005202,P07333,2I0V,NP_000748,P09603,1HMC,1
62,NP_002458,P01106,1A93,NP_612482,P08047,1SP1,1
63,NP_596869,Q8WZ42,1BPV,NP_002464,P35579,2LNK,1
64,NP_150241,P29590,1BOR,NP_001518,Q92769,3MAX,1
65,NP_378663,Q9Y297,1P22,NP_001895,P35222,1G3J,1
66,NP_005169,P20749,1K1A,NP_003874,O15379,4A69,1
67,NP_003237,P07996,1LSL,NP_000063,P16671,5LGD,1
68,NP_001921,P49366,1DHS,NP_001961,P63241,1FH4,1
69,NP_001887,P19784,3E3B,NP_006635,Q92598,6GFA,1
70,NP_003121,P30626,1JUO,NP_005822,Q13137,2MXP,1
71,NP_005634,Q15544,1BH8,NP_004597,P21675,1EQF,1
72,NP_001229,P24864,1W98,NP_001780,P30304,1C25,1
73,NP_858045,Q9Y6Q9,1KBH,NP_000035,P10275,1E3G,1
74,NP_004347,P60033,1G8Q,NP_000213,P10721,1PKG,1
75,NP_001886,P68400,1JWH,NP_612482,P08047,1SP1,1
76,NP_005154,P31749,1H10,NP_001633,Q06481,5JBT,1
77,NP_113618,Q96NA2,1YHN,NP_004628,P51149,1T91,1
78,NP_066361,P10114,1KAO,NP_002871,P04049,1C1Y,1
79,NP_006171,Q16620,1HCF,NP_733930,P23560,1B8M,1
80,NP_002341,P07948,1W1F,NP_009112,Q92918,6CQD,1
81,NP_001096,Q04771,3H9R,NP_002945,P62979,2KHW,1
82,NP_631961,Q92804,2MMY,NP_004597,P21675,1EQF,1
83,NP_057457,Q9NZC7,1WMV,NP_000537,P04637,1A1U,1
84,NP_003812,O43353,2N7Z,NP_005649,Q13077,3M0D,1
85,NP_005484,Q96S59,5JI7,NP_002954,P31151,1PSR,1
86,NP_004801,O75791,5GJH,NP_000213,P10721,1PKG,1
87,NP_055816,Q96T58,1OW1,NP_006229,Q03181,1GWX,1
88,NP_003391,O14980,1W9C,NP_001961,P63241,1FH4,1
89,NP_000116,P03372,1A52,NP_001527,Q99873,6NT2,1
90,NP_005498,P23528,1Q8G,NP_036611,P61981,2B05,1
91,NP_056345,Q9H8Y8,3RLE,NP_003227,P01135,1GK5,1
92,NP_005237,P16591,2KK6,NP_002221,P14923,3IFQ,1
93,NP_005892,Q15796,1DEV,NP_000772,P05108,3N9Y,1
94,NP_006262,P23297,2L0P,NP_005971,P25815,1J55,1
95,NP_067080,Q9NPG2,1OJ6,NP_066268,P09471,6FUF,1
96,NP_004413,O14641,2REY,NP_001008712,Q93062,1BNY,1
97,NP_008945,O00308,4Y07,NP_001029,P37088,2M3O,1
98,NP_001012271,O15392,1E31,NP_004337,P42574,1CP3,1
99,NP_005892,Q15796,1DEV,NP_002725,P10644,5KJX,1
100,NP_003833,O14763,1D0G,NP_003780,Q15628,1F2H,1
101,NP_002592,O43924,1KSG,NP_067075,Q9NP72,1X3S,1
102,NP_002383,Q00987,1RV1,NP_003461,Q93009,1NB8,1
103,NP_005630,P21579,2K45,NP_001019265,P04150,1M2Z,1
104,NP_005391,Q02156,2WH0,NP_000433,P16284,2KY5,1
105,NP_055521,Q15020,2DO4,NP_000035,P10275,1E3G,1
106,NP_005891,Q15797,1KHU,NP_001619,P15121,1ABN,1
107,NP_003178,Q16594,6F3T,NP_005924,Q03164,2AGH,1
108,NP_001319,Q13363,1MX3,NP_003480,P48552,2GPO,1
109,NP_064589,Q9NQ69,2DMQ,NP_005892,Q15796,1DEV,1
110,NP_001026897,Q9BV20,4LDQ,NP_060649,Q6VMQ6,2RPQ,1
111,NP_005611,P31949,1V4Z,NP_006263,P04271,1MQ1,1
112,NP_000591,P05231,1ALU,NP_005997,Q05516,1BUO,1
113,NP_001969,Q08495,1QZP,NP_006395,Q9UNN8,1L8J,1
114,NP_054782,Q9UJU6,1X67,NP_009112,Q92918,6CQD,1
115,NP_112226,Q9C004,3BUN,NP_002871,P04049,1C1Y,1
116,NP_002858,P20337,3DZ8,NP_005891,Q15797,1KHU,1
117,NP_001194,O00238,3MDY,NP_002945,P62979,2KHW,1
118,NP_003255,O60603,1FYW,NP_003290,P14625,4NH9,1
119,NP_733745,Q8N5H7,3T6G,NP_115791,Q9BXL7,4JUP,1
120,NP_000367,P11473,1DB1,NP_068811,P28702,1H9U,1
121,NP_004279,O60759,2Z17,NP_059431,Q99418,1PBV,1
122,NP_001649,P84077,1HUR,NP_065875,Q5T5U3,2DHJ,1
123,NP_002515,P01111,2N9C,NP_057425,Q9P212,2BYE,1
124,NP_005997,Q05516,1BUO,NP_060231,Q9NPJ4,4B6H,1
125,NP_006245,Q05655,1YRK,NP_006209,P42336,2ENQ,1
126,NP_000312,P06400,1AD6,NP_009225,P38398,1JM7,1
127,NP_874369,Q92993,2EKO,NP_001420,Q09472,1L3E,1
128,NP_009297,P00519,1AB2,NP_001460,P12956,1JEQ,1
129,NP_002816,P21246,2N6F,NP_002806,O00231,5GJQ,1
130,NP_001253,P42773,1BU9,NP_068597,Q9GZT6,6H9M,1
131,NP_001009944,P98161,1B4R,NP_001006611,Q8IUQ4,2A25,1
132,NP_056036,Q6XZF7,1UG1,NP_543157,Q16643,5Y1Z,1
133,NP_002706,P67775,2IAE,NP_006245,Q05655,1YRK,1
134,NP_001020330,P04233,1A6A,NP_001903,P07711,1CJL,1
135,NP_000452,P10828,1BSX,NP_004228,Q15645,5VQ9,1
136,NP_005558,Q08380,1BY2,NP_000582,P08571,4GLP,1
137,NP_203124,P55210,1F1J,NP_004406,P15924,1LM5,1
138,NP_001194,O00238,3MDY,NP_071732,P57729,6HDU,1
139,NP_003572,O43639,1U5S,NP_005624,Q07889,1AWE,1
140,NP_858045,Q9Y6Q9,1KBH,NP_003343,P63165,1A5R,1
141,NP_115584,Q9H6X2,3N2N,NP_612815,Q07817,1BXL,1
142,NP_001869,P29373,1BLR,NP_001751,P30281,3G33,1
143,NP_001036068,P29375,2JXJ,NP_002886,P28749,1H28,1
144,NP_003484,Q16695,2V1D,NP_001915,P24522,2KG4,1
145,NP_003241,P10827,1NAV,NP_004951,P35637,2LA6,1
146,NP_058644,Q9NPB6,1WMH,NP_003396,Q04917,2C63,1
147,NP_002680,Q14181,2KEB,NP_114406,Q8N2I9,5L2Q,1
148,NP_000817,P42262,2WJW,NP_001073892,Q9C0E4,1V62,1
149,NP_005891,Q15797,1KHU,NP_003324,P62987,2LJ5,1
150,NP_004908,Q9Y5K2,2BDG,NP_001031,P04278,1D2S,1
151,NP_001017963,P07900,1BYQ,NP_003945,Q99558,4DN5,1
152,NP_000652,P32969,2CQL,NP_066547,O94875,5VEI,1
153,NP_001217,P55212,1MI9,NP_003371,P08670,1GK4,1
154,NP_858045,Q9Y6Q9,1KBH,NP_444284,P24385,2W96,1
155,NP_001950,P24534,1B64,NP_002100,P12081,1X59,1
156,NP_009138,Q9Y6W6,1ZZW,NP_620448,P53779,1JNK,1
157,NP_789782,Q9H444,3C3Q,NP_689497,Q96CF2,3C3R,1
158,NP_036426,Q92565,1WGY,NP_002877,P61225,1N4P,1
159,NP_000723,P04234,1XIW,NP_004059,Q96CW1,1H6E,1
160,NP_000630,P48023,1BZI,NP_003969,O43586,2DIL,1
161,NP_000359,Q92574,4Z6Y,NP_006817,P27348,2BTP,1
162,NP_003241,P10827,1NAV,NP_056989,O15164,2YYN,1
163,NP_006394,Q14511,2L81,NP_065574,P28329,2FY2,1
164,NP_004447,Q15910,2C6V,NP_077084,O43189,2E5P,1
165,NP_758957,P02747,1PK6,NP_057075,P02745,1PK6,1
166,NP_003681,O75569,2DIX,NP_006824,Q7L5N1,4D10,1
167,NP_002383,Q00987,1RV1,NP_003327,P49459,6CYO,1
168,NP_005334,P01112,121P,NP_055393,O00212,2J1L,1
169,NP_000724,P07766,1A81,NP_003168,P43405,1A81,1
170,NP_003740,Q9Y4H2,3FQW,NP_002825,Q06124,2SHP,1
171,NP_116170,P54829,2BIJ,NP_002028,P06241,1A0N,1
172,NP_001410,Q15717,3HI9,NP_003002,Q01105,2E50,1
173,NP_000042,Q13315,5NP0,NP_002384,O15151,2CR8,1
174,NP_002933,Q9HCK4,1UEM,NP_003137,Q08945,4IFS,1
175,NP_000323,P54253,1OA8,NP_003884,Q86U70,2XJY,1
176,NP_003891,Q13501,1Q02,NP_005044,P54725,1DV0,1
177,NP_003630,Q9Y6K9,2JVX,NP_001269,O15111,3BRT,1
178,NP_005891,Q15797,1KHU,NP_000035,P10275,1E3G,1
179,NP_004516,P98164,2M0P,NP_000032,P02649,1B68,1
180,NP_005139,Q13432,3GQQ,NP_005347,P06239,1BHF,1
181,NP_005685,Q14061,2L0Y,NP_006824,Q7L5N1,4D10,1
182,NP_647478,Q96CA5,1OXN,NP_001220,P55211,1JXQ,1
183,NP_005139,Q13432,3GQQ,NP_002113,A0A173ADG5,3PL6,1
184,NP_003737,P63167,1CMI,NP_000025,P04075,1ALD,1
185,NP_066961,Q12933,1CA4,NP_005997,Q05516,1BUO,1
186,NP_036228,Q9UKG1,2EJ8,NP_005206,P43146,2ED7,1
187,NP_002778,P25787,4R3O,NP_002783,O14818,4R3O,1
188,NP_002988,P18827,4GVC,NP_002816,P21246,2N6F,1
189,NP_000112,P19235,1CN4,NP_005179,P22681,1B47,1
190,NP_002728,P17252,2ELI,NP_003370,P15311,1NI2,1
191,NP_004413,O14641,2REY,NP_009126,Q9UNA4,1T3N,1
192,NP_075067,Q96AX1,4BX8,NP_072097,Q9H269,4BX9,1
193,NP_055048,P17480,1K99,NP_001886,P68400,1JWH,1
194,NP_001252,P50750,1PF6,NP_006212,Q13526,1F8A,1
195,NP_006411,Q9Y6D5,3L8N,NP_002725,P10644,5KJX,1
196,NP_001777,P06493,1LC9,NP_060962,Q96KB5,5J0A,1
197,NP_006144,P16333,2CI8,NP_002600,P09619,1GQ5,1
198,NP_000902,P41143,1OZC,NP_002060,P63096,1KJY,1
199,NP_000524,P60201,2XPG,NP_001020272,P02686,1BX2,1
200,NP_001217,P55212,1MI9,NP_008878,O76094,5M72,1
201,NP_004604,P21980,1FAU,NP_000203,P05106,1JV2,1
202,NP_001356,P78352,1KEF,NP_004516,P98164,2M0P,1
203,NP_000091,P04080,1STF,NP_001903,P07711,1CJL,1
204,NP_001269,O15111,3BRT,NP_006303,Q9Y618,1KKQ,1
205,NP_003178,Q16594,6F3T,NP_036448,O60684,4UAD,1
206,NP_003609,Q8IVH8,5J5T,NP_003017,Q99962,1X03,1
207,NP_005730,O95267,4L9M,NP_005334,P01112,121P,1
208,NP_004581,O15467,5LTL,NP_001286,P32246,1Y5D,1
209,NP_002736,P28482,1PME,NP_000112,P19235,1CN4,1
210,NP_005204,P01040,1CYU,NP_680090,P07858,1CSB,1
211,NP_036558,Q15393,5IFE,NP_036565,O75533,2F9D,1
212,NP_000048,P54132,2KV2,NP_002453,P20591,3LJB,1
213,NP_000651,P01137,1KLA,NP_000879,P18564,1LH9,1
214,NP_003160,O00267,2DO3,NP_006212,Q13526,1F8A,1
215,NP_036580,P51692,6MBW,NP_006303,Q9Y618,1KKQ,1
216,NP_009225,P38398,1JM7,NP_061828,P0CG47,2KHW,1
217,NP_536859,P29350,1FPR,NP_004110,P36888,1RJB,1
218,NP_000537,P04637,1A1U,NP_001008709,P62136,3E7A,1
219,NP_001658,P36404,3DOE,NP_002592,O43924,1KSG,1
220,NP_003795,Q13546,4ITH,NP_066961,Q12933,1CA4,1
221,NP_001560,P51617,6BFN,NP_612564,O00206,2Z62,1
222,NP_055843,Q9UKE5,2X7F,NP_006144,P16333,2CI8,1
223,NP_001306,Q16539,1A9U,NP_004981,P56192,2DJV,1
224,NP_004963,O60674,2B7A,NP_005205,P16410,1AH1,1
225,NP_005021,P53350,1Q4K,NP_004194,Q99640,3P1A,1
226,NP_003173,P20366,2B19,NP_997647,P02751,1E88,1
227,NP_002476,O60934,5WQD,NP_001229,P24864,1W98,1
228,NP_874369,Q92993,2EKO,NP_002458,P01106,1A93,1
229,NP_000928,P24928,2GHQ,NP_009225,P38398,1JM7,1
230,NP_031396,P40937,1LFS,NP_005139,Q13432,3GQQ,1
231,NP_006471,O43566,2JNU,NP_002875,P62834,1C1Y,1
232,NP_852664,P27986,1A0N,NP_000737,P36544,2MAW,1
233,NP_001014809,Q14194,4B3Z,NP_115500,Q9H0R4,3HLT,1
234,NP_004865,O95429,1M62,NP_001056,P19438,1EXT,1
235,NP_002884,Q16576,3CFS,NP_003164,O43463,3MTS,1
236,NP_004521,P08253,1CK7,NP_085059,P39060,1BNL,1
237,NP_057365,Q9H2K8,6BDN,NP_001424,O75460,2HZ6,1
238,NP_003874,O15379,4A69,NP_644805,P40763,5AX3,1
239,NP_874369,Q92993,2EKO,NP_000316,Q99697,2L7F,1
240,NP_000362,P02766,1BM7,NP_036564,Q15047,3DLM,1
241,NP_001519,Q04756,1YBW,NP_000592,P14210,1BHT,1
242,NP_002651,P19174,1HSQ,NP_067028,Q7L0Q8,2Q3H,1
243,NP_055774,Q9Y2G2,4IKM,NP_001441,Q14192,1X4K,1
244,NP_060740,Q9NV56,2N1D,NP_996670,Q9UBU8,2AQL,1
245,NP_000620,P17181,3S98,NP_997468,P48551,1N6U,1
246,NP_932170,P20963,1TCE,NP_006130,P10747,1YJD,1
247,NP_002721,P17612,2GU8,NP_004324,P15056,1UWH,1
248,NP_059345,Q9UQB8,1WDZ,NP_057232,Q9Y566,6CPI,1
249,NP_203699,P29400,5NAZ,NP_000475,P05067,1AAP,1
250,NP_005138,Q96EY1,2CTT,NP_002866,Q06609,1B22,1
251,NP_006696,O95257,2WAL,NP_002835,Q15262,2C7S,1
252,NP_000909,P07237,1BJX,NP_001757,P15813,1ZT4,1
253,NP_057250,O75925,1V66,NP_003336,P63279,1A3S,1
254,NP_066124,P07949,1XPD,NP_002736,P28482,1PME,1
255,NP_005405,P12757,3EQ5,NP_006302,O75376,2EQR,1
256,NP_005234,Q01844,2CPE,NP_064585,Q9NRG1,2JBH,1
257,NP_036611,P61981,2B05,NP_037409,Q9H0H5,2OVJ,1
258,NP_003965,O60496,2D9W,NP_005347,P06239,1BHF,1
259,NP_892113,P29353,1MIL,NP_066189,O14492,1Q2H,1
260,NP_002730,P05129,2E73,NP_001334,P98082,2LSW,1
261,NP_001388,P42892,3DWB,NP_001946,P05305,1EDN,1
262,NP_000917,P06401,1A28,NP_057250,O75925,1V66,1
263,NP_005528,Q9UK53,2QIC,NP_003397,P63104,1IB1,1
264,NP_001902,P08311,1AU8,NP_001076,P01011,1AS4,1
265,NP_005629,P51809,2DMW,NP_079495,Q9H3Z4,2N04,1
266,NP_002729,P05771,2I0E,NP_000156,P17302,2LL2,1
267,NP_004654,P62491,1OIV,NP_000012,P49768,2KR6,1
268,NP_004644,Q9BY66,2E6R,NP_001011663,Q9BYE7,2DJB,1
269,NP_068713,P30530,2C5D,NP_005484,Q96S59,5JI7,1
270,NP_003844,O95256,3WO4,NP_001553,Q14116,1J0S,1
271,NP_004949,P42345,1AUE,NP_065812,Q8N122,5H64,1
272,NP_892113,P29353,1MIL,NP_002438,Q04912,3PLS,1
273,NP_733765,P16615,5ZTF,NP_003740,Q9Y4H2,3FQW,1
274,NP_003244,Q13009,2D8I,NP_002730,P05129,2E73,1
275,NP_659480,Q969S2,1VZP,NP_001420,Q09472,1L3E,1
276,NP_002241,O15554,6CNM,NP_002724,P54619,2UV4,1
277,NP_005834,O75886,1X2Q,NP_000206,P52333,1YVJ,1
278,NP_003891,Q13501,1Q02,NP_003627,Q13303,1ZSX,1
279,NP_004417,P78364,2L8E,NP_006588,P11142,3AGY,1
280,NP_036611,P61981,2B05,NP_004563,Q99959,3TT9,1
281,NP_003121,P30626,1JUO,NP_001026,Q92736,4JKQ,1
282,NP_001460,P12956,1JEQ,NP_002102,P42858,2D3X,1
283,NP_003397,P63104,1IB1,NP_005535,P35568,1IRS,1
284,NP_005347,P06239,1BHF,NP_852664,P27986,1A0N,1
285,NP_004508,Q13418,2KBX,NP_066932,P62328,1UY5,1
286,NP_006793,Q12874,2DT7,NP_006860,O75689,3FEH,1
287,NP_004318,P11274,1K1F,NP_003396,Q04917,2C63,1
288,NP_001020330,P04233,1A6A,NP_002113,A0A173ADG5,3PL6,1
289,NP_001561,O43187,3MOP,NP_001560,P51617,6BFN,1
290,NP_000452,P10828,1BSX,NP_068811,P28702,1H9U,1
291,NP_057424,Q8TEU7,2D93,NP_066361,P10114,1KAO,1
292,NP_005299,P34947,4TNB,NP_000697,P37288,1YTV,1
293,NP_003336,P63279,1A3S,NP_789782,Q9H444,3C3Q,1
294,NP_003874,O15379,4A69,NP_006028,P56524,2H8N,1
295,NP_036611,P61981,2B05,NP_001265,O14757,1IA8,1
296,NP_006592,Q15185,1EJF,NP_006810,P31948,1ELR,1
297,NP_003835,O00220,5CIR,NP_001073594,Q14790,1F9E,1
298,NP_002829,P08575,1YGR,NP_001762,P20273,5VKJ,1
299,NP_001542,P78318,4IYP,NP_000372,O15344,2DQ5,1
300,NP_945327,Q8IXH7,5L3X,NP_001645,P10398,1WXM,1
301,NP_002860,P20340,1YZQ,NP_002667,Q92871,2FUC,1
302,NP_066964,P13010,1JEQ,NP_005517,Q00613,2LDU,1
303,NP_004374,P41240,1BYG,NP_005347,P06239,1BHF,1
304,NP_861445,Q7Z6A9,2AW2,NP_536859,P29350,1FPR,1
305,NP_003833,O14763,1D0G,NP_001073594,Q14790,1F9E,1
306,NP_975010,P51813,2EKX,NP_001057,P20333,1CA9,1
307,NP_000261,P00491,1M73,NP_068597,Q9GZT6,6H9M,1
308,NP_001075106,Q8NHL6,1G0X,NP_002107,P04439,1AKJ,1
309,NP_001137,Q15389,4EPU,NP_002196,P08648,3VI3,1
310,NP_954986,P07101,2XSN,NP_000336,P37840,1XQ8,1
311,NP_003815,Q13158,1A1W,NP_005585,Q13765,3LKX,1
312,NP_009133,O43572,3IM4,NP_002725,P10644,5KJX,1
313,NP_002084,P49841,1GNG,NP_068779,Q07820,2KBW,1
314,NP_054762,Q9UQN3,2JQK,NP_057163,Q9Y3E7,2GD5,1
315,NP_037390,Q9ULZ3,1UCP,NP_150634,P29466,1BMQ,1
316,NP_003395,P31946,2BQ0,NP_004808,Q9UDY2,2OSG,1
317,NP_003395,P31946,2BQ0,NP_005535,P35568,1IRS,1
318,NP_002640,P48736,1E8Y,NP_065387,P29322,1UCV,1
319,NP_001735,Q16566,2W4O,NP_004371,Q92793,1JSP,1
320,NP_003241,P10827,1NAV,NP_006302,O75376,2EQR,1
321,NP_003109,P09486,1BMO,NP_000080,P08123,5CTD,1
322,NP_006197,P16234,1GQ5,NP_000203,P05106,1JV2,1
323,NP_056953,P37231,1FM6,NP_004312,Q12756,4EGX,1
324,NP_002023,P02794,1FHA,NP_001014809,Q14194,4B3Z,1
325,NP_005822,Q13137,2MXP,NP_006490,O00214,2YRO,1
326,NP_619527,O43521,1F95,NP_004041,Q92843,1MK3,1
327,NP_001728,P02748,5FMW,NP_000602,P13987,1CDQ,1
328,NP_003395,P31946,2BQ0,NP_077007,Q9BQA1,4GQB,1
329,NP_006779,Q15311,2KWH,NP_005393,P11233,1UAD,1
330,NP_057671,Q13185,2L11,NP_056989,O15164,2YYN,1
331,NP_002736,P28482,1PME,NP_005766,O60504,2CT3,1
332,NP_003338,P68036,1C4Z,NP_000453,Q05086,1C4Z,1
333,NP_057250,O75925,1V66,NP_000035,P10275,1E3G,1
334,NP_003063,P51532,2GRC,NP_005410,P52630,2KA4,1
335,NP_002537,O00300,3URF,NP_997647,P02751,1E88,1
336,NP_000233,P11226,1HUP,NP_001733,P30988,5II0,1
337,NP_055859,Q9UJY4,1MHQ,NP_001650,P61204,6II6,1
338,NP_003591,O14965,1MQ4,NP_663735,Q9BZD4,2VE7,1
339,NP_003884,Q86U70,2XJY,NP_067021,Q9GZU7,1T9Z,1
340,NP_004992,O95182,5XTB,NP_006244,Q9Y478,4CFE,1
341,NP_777584,Q8N807,4NWY,NP_055399,Q96HE7,3AHQ,1
342,NP_055561,P50876,1WIM,NP_003338,P68036,1C4Z,1
343,NP_004443,O95718,1LO1,NP_858045,Q9Y6Q9,1KBH,1
344,NP_001025178,O43747,1IU1,NP_001020029,P11277,1S35,1
345,NP_002384,O15151,2CR8,NP_005216,Q01094,1H24,1
346,NP_000726,P01215,1DZ7,NP_002816,P21246,2N6F,1
347,NP_001012410,Q5FBB7,3FGA,NP_000994,P05386,2LBF,1
348,NP_001922,P10515,1FYC,NP_002602,Q15119,2BTZ,1
349,NP_001447,P21333,2AAV,NP_001655,P61586,1A2B,1
350,NP_003130,P08240,2FH5,NP_055621,Q8N2Y8,6IF2,1
351,NP_002382,P21741,1MKC,NP_004295,Q9UM73,2KUP,1
352,NP_003921,O75563,3OMH,NP_001456,O15117,1RI9,1
353,NP_003397,P63104,1IB1,NP_004584,P62995,2CQC,1
354,NP_009148,Q9BUL8,3AJM,NP_003567,Q9Y6E0,3A7F,1
355,NP_002721,P17612,2GU8,NP_004313,Q92934,1G5J,1
356,NP_000607,P01730,1CDH,NP_001900,P07339,1LYA,1
357,NP_002361,P61326,1P27,NP_006817,P27348,2BTP,1
358,NP_006716,P30203,5A2E,NP_001618,Q13740,1KJC,1
359,NP_001008712,Q93062,1BNY,NP_113640,Q9BTL3,5E8J,1
360,NP_057254,O43763,3A03,NP_003396,Q04917,2C63,1
361,NP_002651,P19174,1HSQ,NP_002244,P35968,1VR2,1
362,NP_005602,Q08999,4XI9,NP_116090,Q86Y97,3RQ4,1
363,NP_055807,Q9Y4D1,2J1D,NP_001655,P61586,1A2B,1
364,NP_937818,P15531,1JXV,NP_059523,P54274,1BA5,1
365,NP_003018,Q99963,2EW3,NP_112486,Q9BXR0,6H42,1
366,NP_006205,O14832,2A1X,NP_005477,O75674,3RRU,1
367,NP_006399,O95994,2LNS,NP_068597,Q9GZT6,6H9M,1
368,NP_005177,P07384,1ZCM,NP_003842,O75629,1XHN,1
369,NP_002341,P07948,1W1F,NP_000112,P19235,1CN4,1
370,NP_001030126,Q9BX66,2DL3,NP_005179,P22681,1B47,1
371,NP_003780,Q15628,1F2H,NP_000034,P25445,1BZI,1
372,NP_006147,Q15843,1NDD,NP_004350,P49427,2OB4,1
373,NP_006245,Q05655,1YRK,NP_065574,P28329,2FY2,1
374,NP_000624,P10415,1G5M,NP_000012,P49768,2KR6,1
375,NP_444252,P35080,1D1J,NP_002650,Q03405,1YWH,1
376,NP_874369,Q92993,2EKO,NP_008896,P17028,1X6E,1
377,NP_057336,Q9NR09,3CEG,NP_004337,P42574,1CP3,1
378,NP_003675,Q9BUB5,2HW6,NP_003751,O43432,1HU3,1
379,NP_055889,O60333,2EH0,NP_001356,P78352,1KEF,1
380,NP_004577,P51812,4D9T,NP_058519,P10636,1I8H,1
381,NP_116584,P49137,1KWP,NP_003397,P63104,1IB1,1
382,NP_057457,Q9NZC7,1WMV,NP_005418,O15350,1COK,1
383,NP_000629,P04004,1OC0,NP_000930,P01189,4XNH,1
384,NP_000592,P14210,1BHT,NP_892028,P05981,1O5E,1
385,NP_536859,P29350,1FPR,NP_000620,P17181,3S98,1
386,NP_361014,Q969H0,2OVP,NP_004553,O60260,1IYF,1
387,NP_000292,P00747,1B2I,NP_002119,P09429,2LY4,1
388,NP_002349,Q13257,1DUJ,NP_000386,P32927,1C8P,1
389,NP_683725,P00167,2I96,NP_061820,P99999,1J3S,1
390,NP_001777,P06493,1LC9,NP_004569,P20338,1YU9,1
